release_date,reference_month,release_time_et
2017-01-18,December 2016,08:30 AM
2017-02-15,January 2017,08:30 AM
2017-03-15,February 2017,08:30 AM
2017-04-14,March 2017,08:30 AM
2017-05-12,April 2017,08:30 AM
2017-06-14,May 2017,08:30 AM
2017-07-14,June 2017,08:30 AM
2017-08-11,July 2017,08:30 AM
2017-09-14,August 2017,08:30 AM
2017-10-13,September 2017,08:30 AM
2017-11-15,October 2017,08:30 AM
2017-12-13,November 2017,08:30 AM
2018-01-12,December 2017,08:30 AM
2018-02-14,January 2018,08:30 AM
2018-03-13,February 2018,08:30 AM
2018-04-11,March 2018,08:30 AM
2018-05-10,April 2018,08:30 AM
2018-06-12,May 2018,08:30 AM
2018-07-12,June 2018,08:30 AM
2018-08-10,July 2018,08:30 AM
2018-09-13,August 2018,08:30 AM
2018-10-11,September 2018,08:30 AM
2018-11-14,October 2018,08:30 AM
2018-12-12,November 2018,08:30 AM
2019-01-11,December 2018,08:30 AM
2019-02-13,January 2019,08:30 AM
2019-03-12,February 2019,08:30 AM
2019-04-10,March 2019,08:30 AM
2019-05-10,April 2019,08:30 AM
2019-06-12,May 2019,08:30 AM
2019-07-11,June 2019,08:30 AM
2019-08-13,July 2019,08:30 AM
2019-09-12,August 2019,08:30 AM
2019-10-10,September 2019,08:30 AM
2019-11-13,October 2019,08:30 AM
2019-12-11,November 2019,08:30 AM
2020-01-14,December 2019,08:30 AM
2020-02-13,January 2020,08:30 AM
2020-03-11,February 2020,08:30 AM
2020-04-10,March 2020,08:30 AM
2020-05-12,April 2020,08:30 AM
2020-06-10,May 2020,08:30 AM
2020-07-14,June 2020,08:30 AM
2020-08-12,July 2020,08:30 AM
2020-09-11,August 2020,08:30 AM
2020-10-13,September 2020,08:30 AM
2020-11-12,October 2020,08:30 AM
2020-12-10,November 2020,08:30 AM
2021-01-13,December 2020,08:30 AM
2021-02-10,January 2021,08:30 AM
2021-03-10,February 2021,08:30 AM
2021-04-13,March 2021,08:30 AM
2021-05-12,April 2021,08:30 AM
2021-06-10,May 2021,08:30 AM
2021-07-13,June 2021,08:30 AM
2021-08-11,July 2021,08:30 AM
2021-09-14,August 2021,08:30 AM
2021-10-13,September 2021,08:30 AM
2021-11-10,October 2021,08:30 AM
2021-12-10,November 2021,08:30 AM
2022-01-12,December 2021,08:30 AM
2022-02-10,January 2022,08:30 AM
2022-03-10,February 2022,08:30 AM
2022-04-12,March 2022,08:30 AM
2022-05-11,April 2022,08:30 AM
2022-06-10,May 2022,08:30 AM
2022-07-13,June 2022,08:30 AM
2022-08-10,July 2022,08:30 AM
2022-09-13,August 2022,08:30 AM
2022-10-13,September 2022,08:30 AM
2022-11-10,October 2022,08:30 AM
2022-12-13,November 2022,08:30 AM
2023-01-12,December 2022,08:30 AM
2023-02-14,January 2023,08:30 AM
2023-03-14,February 2023,08:30 AM
2023-04-12,March 2023,08:30 AM
2023-05-10,April 2023,08:30 AM
2023-06-13,May 2023,08:30 AM
2023-07-12,June 2023,08:30 AM
2023-08-10,July 2023,08:30 AM
2023-09-13,August 2023,08:30 AM
2023-10-12,September 2023,08:30 AM
2023-11-14,October 2023,08:30 AM
2023-12-12,November 2023,08:30 AM
2024-01-11,December 2023,08:30 AM
2024-02-13,January 2024,08:30 AM
2024-03-12,February 2024,08:30 AM
2024-04-10,March 2024,08:30 AM
2024-05-15,April 2024,08:30 AM
2024-06-12,May 2024,08:30 AM
2024-07-11,June 2024,08:30 AM
2024-08-14,July 2024,08:30 AM
2024-09-11,August 2024,08:30 AM
2024-10-10,September 2024,08:30 AM
2024-11-13,October 2024,08:30 AM
2024-12-11,November 2024,08:30 AM
2025-01-15,December 2024,08:30 AM
2025-02-12,January 2025,08:30 AM
2025-03-12,February 2025,08:30 AM
2025-04-10,March 2025,08:30 AM
2025-05-13,April 2025,08:30 AM
2025-06-11,May 2025,08:30 AM
2025-07-15,June 2025,08:30 AM
2025-08-12,July 2025,08:30 AM
2025-09-11,August 2025,08:30 AM
2025-10-24,September 2025,08:30 AM
2025-12-18,November 2025,08:30 AM
2026-01-13,December 2025,08:30 AM
2026-02-13,January 2026,08:30 AM
2026-03-11,February 2026,08:30 AM
2026-04-10,March 2026,08:30 AM
2026-05-12,April 2026,08:30 AM
2026-06-10,May 2026,08:30 AM
2026-07-14,June 2026,08:30 AM
2026-08-12,July 2026,08:30 AM
2026-09-11,August 2026,08:30 AM
2026-10-14,September 2026,08:30 AM
2026-11-10,October 2026,08:30 AM
2026-12-10,November 2026,08:30 AM
