decision_date,announcement_time_et,meeting_start
2018-01-31,14:00,2018-01-30
2018-03-21,14:00,2018-03-20
2018-05-02,14:00,2018-05-01
2018-06-13,14:00,2018-06-12
2018-08-01,14:00,2018-07-31
2018-09-26,14:00,2018-09-25
2018-11-08,14:00,2018-11-07
2018-12-19,14:00,2018-12-18
2019-01-30,14:00,2019-01-29
2019-03-20,14:00,2019-03-19
2019-05-01,14:00,2019-04-30
2019-06-19,14:00,2019-06-18
2019-07-31,14:00,2019-07-30
2019-09-18,14:00,2019-09-17
2019-10-30,14:00,2019-10-29
2019-12-11,14:00,2019-12-10
2020-01-29,14:00,2020-01-28
2020-04-29,14:00,2020-04-28
2020-06-10,14:00,2020-06-09
2020-07-29,14:00,2020-07-28
2020-09-16,14:00,2020-09-15
2020-11-05,14:00,2020-11-04
2020-12-16,14:00,2020-12-15
2021-01-27,14:00,2021-01-26
2021-03-17,14:00,2021-03-16
2021-04-28,14:00,2021-04-27
2021-06-16,14:00,2021-06-15
2021-07-28,14:00,2021-07-27
2021-09-22,14:00,2021-09-21
2021-11-03,14:00,2021-11-02
2021-12-15,14:00,2021-12-14
2022-01-26,14:00,2022-01-25
2022-03-16,14:00,2022-03-15
2022-05-04,14:00,2022-05-03
2022-06-15,14:00,2022-06-14
2022-07-27,14:00,2022-07-26
2022-09-21,14:00,2022-09-20
2022-11-02,14:00,2022-11-01
2022-12-14,14:00,2022-12-13
2023-02-01,14:00,2023-01-31
2023-03-22,14:00,2023-03-21
2023-05-03,14:00,2023-05-02
2023-06-14,14:00,2023-06-13
2023-07-26,14:00,2023-07-25
2023-09-20,14:00,2023-09-19
2023-11-01,14:00,2023-10-31
2023-12-13,14:00,2023-12-12
2024-01-31,14:00,2024-01-30
2024-03-20,14:00,2024-03-19
2024-05-01,14:00,2024-04-30
2024-06-12,14:00,2024-06-11
2024-07-31,14:00,2024-07-30
2024-09-18,14:00,2024-09-17
2024-11-07,14:00,2024-11-06
2024-12-18,14:00,2024-12-17
2025-01-29,14:00,2025-01-28
2025-03-19,14:00,2025-03-18
2025-05-07,14:00,2025-05-06
2025-06-18,14:00,2025-06-17
2025-07-30,14:00,2025-07-29
2025-09-17,14:00,2025-09-16
2025-10-29,14:00,2025-10-28
2025-12-10,14:00,2025-12-09
2026-01-28,14:00,2026-01-27
2026-03-18,14:00,2026-03-17
2026-04-29,14:00,2026-04-28
2026-06-17,14:00,2026-06-16
2026-07-29,14:00,2026-07-28
2026-09-16,14:00,2026-09-15
2026-10-28,14:00,2026-10-27
2026-12-09,14:00,2026-12-08
2027-01-27,14:00,2027-01-26
2027-03-17,14:00,2027-03-16
2027-04-28,14:00,2027-04-27
2027-06-09,14:00,2027-06-08
2027-07-28,14:00,2027-07-27
2027-09-15,14:00,2027-09-14
2027-10-27,14:00,2027-10-26
2027-12-08,14:00,2027-12-07
