#expiry,strike,right,open,high,low,close,volume,open_interest,implied_volatility,delta,gamma,vega,theta,rho
,,,476.4700,476.4700,476.4700,476.4700,0,,,,,,,
20240112,448,C,28.4300,28.4300,28.4300,28.4300,0,0,,,,,,
20240112,416,C,60.4200,60.4200,60.4200,60.4200,0,0,,,,,,
20240112,480,P,3.5300,3.5300,3.5300,3.5300,0,0,0.2812000,-0.9929000,0.0000000,0.1002000,-0.2691000,-0.0544000
20240112,447.5,C,28.9400,28.9400,28.9400,28.9400,0,0,,,,,,
20240112,437,C,39.4300,39.4300,39.4300,39.4300,0,0,,,,,,
20240112,405,C,71.4300,71.4300,71.4300,71.4300,0,0,,,,,,
20240112,469,C,7.5500,7.5500,7.5500,7.5500,0,0,0.8632000,0.9571000,0.0000000,0.4638000,-4.8708000,0.0511000
20240112,458,C,18.4950,18.4950,18.4950,18.4950,0,0,1.5062000,0.9931000,0.0000000,0.0973000,-1.8251000,0.0519000
20240112,426,C,50.4700,50.4700,50.4700,50.4700,0,0,,,,,,
20240112,490,P,13.5150,13.5150,13.5150,13.5150,0,0,,,,,,
20240112,457.5,C,18.9550,18.9550,18.9550,18.9550,0,0,,,,,,
20240112,415,C,61.4200,61.4200,61.4200,61.4200,0,0,,,,,,
20240112,447,C,29.4650,29.4650,29.4650,29.4650,0,0,,,,,,
20240112,479,P,2.5150,2.5150,2.5150,2.5150,0,0,,,,,,
20240112,436,C,40.4400,40.4400,40.4400,40.4400,0,0,,,,,,
20240112,404,C,72.4750,72.4750,72.4750,72.4750,0,0,,,,,,
20240112,500,P,23.5400,23.5400,23.5400,23.5400,0,0,1.7250000,-0.9954000,0.0000000,0.0680000,-1.3372000,-0.0568000
20240112,468,C,8.4800,8.4800,8.4800,8.4800,0,0,0.6749000,0.9936000,0.0000000,0.0911000,-0.8059000,0.0530000
20240112,467.5,C,8.9750,8.9750,8.9750,8.9750,0,0,,,,,,
20240112,425,C,51.4650,51.4650,51.4650,51.4650,0,0,,,,,,
20240112,457,C,19.4250,19.4250,19.4250,19.4250,0,0,,,,,,
20240112,489,P,12.5100,12.5100,12.5100,12.5100,0,0,,,,,,
20240112,350,C,126.4600,126.4600,126.4600,126.4600,0,0,,,,,,
20240112,446,C,30.4550,30.4550,30.4550,30.4550,0,0,,,,,,
20240112,414,C,62.4350,62.4350,62.4350,62.4350,0,0,,,,,,
20240112,478,C,0.0150,0.0150,0.0150,0.0150,0,0,0.1601000,0.0308000,0.0000000,0.3540000,-0.6825000,0.0016000
20240112,478,P,1.5400,1.5400,1.5400,1.5400,0,0,0.1679000,-0.9626000,0.0000000,0.4149000,-0.7694000,-0.0525000
20240112,510,P,33.6350,33.6350,33.6350,33.6350,0,0,3.0312000,-0.9813000,0.0000000,0.2318000,-8.3593000,-0.0572000
20240112,435,C,41.4350,41.4350,41.4350,41.4350,0,0,,,,,,
20240112,403,C,73.4550,73.4550,73.4550,73.4550,0,0,,,,,,
20240112,467,C,9.4900,9.4900,9.4900,9.4900,0,0,0.8281000,0.9885000,0.0000000,0.1530000,-1.5878000,0.0526000
20240112,499,P,22.5100,22.5100,22.5100,22.5100,0,0,,,,,,
20240112,360,C,116.4600,116.4600,116.4600,116.4600,0,0,,,,,,
20240112,456,C,20.4700,20.4700,20.4700,20.4700,0,0,,,,,,
20240112,424,C,52.4300,52.4300,52.4300,52.4300,0,0,,,,,,
20240112,520,P,43.5550,43.5550,43.5550,43.5550,0,0,3.1250000,-0.9953000,0.0000000,0.0688000,-2.5075000,-0.0591000
20240112,488,P,11.5100,11.5100,11.5100,11.5100,0,0,,,,,,
20240112,487.5,P,11.0600,11.0600,11.0600,11.0600,0,0,1.0156000,-0.9822000,0.0000000,0.2224000,-2.6418000,-0.0546000
20240112,445,C,31.3850,31.3850,31.3850,31.3850,0,0,,,,,,
20240112,413,C,63.4250,63.4250,63.4250,63.4250,0,0,,,,,,
20240112,477,C,0.1050,0.1050,0.1050,0.1050,0,0,0.1425000,0.2342000,0.0000000,1.5614000,-2.6878000,0.0127000
20240112,477,P,0.6350,0.6350,0.6350,0.6350,0,0,0.1445000,-0.7627000,0.0000000,1.5725000,-2.6744000,-0.0415000
20240112,370,C,106.4100,106.4100,106.4100,106.4100,0,0,,,,,,
20240112,434,C,42.4350,42.4350,42.4350,42.4350,0,0,,,,,,
20240112,402,C,74.4200,74.4200,74.4200,74.4200,0,0,,,,,,
20240112,466,C,10.4500,10.4500,10.4500,10.4500,0,0,,,,,,
20240112,498,P,21.5600,21.5600,21.5600,21.5600,0,0,1.7906000,-0.9892000,0.0000000,0.1441000,-3.0256000,-0.0562000
20240112,530,P,53.5400,53.5400,53.5400,53.5400,0,0,3.5031000,-0.9976000,0.0000000,0.0374000,-1.4984000,-0.0603000
20240112,455,C,21.4950,21.4950,21.4950,21.4950,0,0,1.7250000,0.9939000,0.0000000,0.0867000,-1.8616000,0.0516000
20240112,423,C,53.4350,53.4350,53.4350,53.4350,0,0,,,,,,
20240112,487,P,10.5600,10.5600,10.5600,10.5600,0,0,0.9781000,-0.9815000,0.0000000,0.2306000,-2.6374000,-0.0545000
20240112,380,C,96.4250,96.4250,96.4250,96.4250,0,0,,,,,,
20240112,444,C,32.4050,32.4050,32.4050,32.4050,0,0,,,,,,
20240112,412,C,64.4300,64.4300,64.4300,64.4300,0,0,,,,,,
20240112,476,C,0.5900,0.5900,0.5900,0.5900,0,0,0.1455000,0.7387000,0.0000000,1.6553000,-2.9415000,0.0401000
20240112,476,P,0.1150,0.1150,0.1150,0.1150,0,0,0.1406000,-0.2541000,0.0000000,1.6316000,-2.7358000,-0.0138000
20240112,540,P,63.5100,63.5100,63.5100,63.5100,0,0,,,,,,
20240112,433,C,43.4050,43.4050,43.4050,43.4050,0,0,,,,,,
20240112,465,C,11.4850,11.4850,11.4850,11.4850,0,0,0.8750000,0.9954000,0.0000000,0.0670000,-0.7714000,0.0528000
20240112,497,P,20.5600,20.5600,20.5600,20.5600,0,0,1.7250000,-0.9886000,0.0000000,0.1511000,-3.0581000,-0.0561000
20240112,390,C,86.4400,86.4400,86.4400,86.4400,0,0,,,,,,
20240112,454,C,22.4500,22.4500,22.4500,22.4500,0,0,,,,,,
20240112,422,C,54.4300,54.4300,54.4300,54.4300,0,0,,,,,,
20240112,486,P,9.5900,9.5900,9.5900,9.5900,0,0,0.9968000,-0.9680000,0.0000000,0.3645000,-4.2921000,-0.0537000
20240112,443,C,33.4350,33.4350,33.4350,33.4350,0,0,,,,,,
20240112,411,C,65.4350,65.4350,65.4350,65.4350,0,0,,,,,,
20240112,475,C,1.5050,1.5050,1.5050,1.5050,0,0,0.1914000,0.9351000,0.0000000,0.6446000,-1.5453000,0.0506000
20240112,475,P,0.0250,0.0250,0.0250,0.0250,0,0,0.1796000,-0.0533000,0.0000000,0.5524000,-1.1875000,-0.0029000
20240112,442.5,C,33.9250,33.9250,33.9250,33.9250,0,0,,,,,,
20240112,432,C,44.4500,44.4500,44.4500,44.4500,0,0,,,,,,
20240112,400,C,76.4350,76.4350,76.4350,76.4350,0,0,,,,,,
20240112,464,C,12.3850,12.3850,12.3850,12.3850,0,0,,,,,,
20240112,496,P,19.5150,19.5150,19.5150,19.5150,0,0,,,,,,
20240112,453,C,23.4550,23.4550,23.4550,23.4550,0,0,,,,,,
20240112,421,C,55.4250,55.4250,55.4250,55.4250,0,0,,,,,,
20240112,485,P,8.5550,8.5550,8.5550,8.5550,0,0,0.7718000,-0.9840000,0.0000000,0.2027000,-1.8085000,-0.0545000
20240112,452.5,C,23.9350,23.9350,23.9350,23.9350,0,0,,,,,,
20240112,410,C,66.4350,66.4350,66.4350,66.4350,0,0,,,,,,
20240112,442,C,34.4200,34.4200,34.4200,34.4200,0,0,,,,,,
20240112,474,C,2.4950,2.4950,2.4950,2.4950,0,0,0.2656000,0.9667000,0.0000000,0.3772000,-1.2690000,0.0522000
20240112,474,P,0.0150,0.0150,0.0150,0.0150,0,0,0.2421000,-0.0220000,0.0000000,0.2681000,-0.7779000,-0.0012000
20240112,431,C,45.4400,45.4400,45.4400,45.4400,0,0,,,,,,
20240112,495,P,18.5500,18.5500,18.5500,18.5500,0,0,1.5062000,-0.9909000,0.0000000,0.1247000,-2.1827000,-0.0560000
20240112,463,C,13.4050,13.4050,13.4050,13.4050,0,0,,,,,,
20240112,462.5,C,13.9050,13.9050,13.9050,13.9050,0,0,,,,,,
20240112,420,C,56.4550,56.4550,56.4550,56.4550,0,0,,,,,,
20240112,452,C,24.4400,24.4400,24.4400,24.4400,0,0,,,,,,
20240112,484,P,7.5200,7.5200,7.5200,7.5200,0,0,,,,,,
20240112,441,C,35.4300,35.4300,35.4300,35.4300,0,0,,,,,,
